Number of Additional Surge Beds Being Planned,Empty Adult ICU Beds,Adult ICU Staffed Bed Capacity,Number of Ventilators Available,Number of Ventilators in Hospital,Number of COVID-19 Positive Patients In Hospital,Number of Fatalities related to COVID-19 in past 24 hours,Number of COVID-19 Positive Adults in ICU,Number of ALL Patients Under Investigation for COVID-19 In Hospital,Number of new patients admitted to an inpatient bed who had confirmed COVID-19 at the time of admission in the past 24 hours,Number of new patients admitted to an inpatient bed who had suspected COVID-19 at the time of admission in the past 24 hours,Staffed Inpatient Capacity (all bed types),Inpatient Census (all bed types),Adult ICU Census,Number of Ventilators In Use,Date,Empty Inpatient Beds (all types),cms_number,hospital_name,Coalition
20,3,16,13,18,36,1,7,0,0,0,138,133,13,5,1/4/2021,5,340126,Wilson Medical Center,EHPC
0,4,18,8,9,3,0,0,2,1,1,113,46,14,1,11/7/2020,67,340096,WFBMC - Lexington MC,THPC
177,14,110,60,127,79,3,23,6,10,2,768,610,96,67,1/10/2021,158,340047,Wake Forest Baptist MC – Winston Campus,THPC
46,23,136,222,295,78,1,27,1,9,16,820,656,113,73,12/30/2020,164,340061,UNC Medical Center,MCRHC
0,3,9,2,3,10,0,1,2,0,0,30,24,6,1,1/31/2021,6,341319,Transylvania Regional Hospital,MAHPC
48,5,22,25,36,41,1,10,0,8,1,256,192,17,11,1/31/2021,64,340155,Duke Regional Hospital,DHPC
0,3,6,2,2,0,0,0,0,0,0,19,12,3,0,11/21/2020,7,341322,St. Lukes Hospital,MAHPC
0,0,1,3,4,2,0,0,2,2,2,25,17,1,1,11/4/2020,8,340087,McDowell Hospital,MAHPC
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,11/30/2020,0,341316,Highlands Cashiers Hospital,MAHPC
29,5,5,26,26,8,0,0,0,0,0,114,66,0,0,11/24/2020,48,340158,Novant Health - Brunswick MC,SHPR
54,7,16,27,40,23,2,7,5,2,3,104,71,9,13,12/29/2020,33,340109,Sentara Albemarle Medical Center,EHPC
53,8,17,35,43,44,2,1,0,5,9,260,134,9,8,12/2/2020,126,340010,Wayne UNC Health Care,EHPC
10,1,18,37,44,24,0,5,21,1,8,203,145,17,7,11/19/2020,58,340021,Atrium Health - Cleveland,MHPC
44,0,7,6,7,0,0,4,0,0,0,89,64,7,1,1/26/2021,25,340023,Park Ridge Health (Advent Health),MAHPC
13,10,20,28,29,1,0,0,28,1,6,219,123,10,1,11/5/2020,96,340113,Atrium Health - Main,MHPC
277,0,108,63,130,65,1,20,0,6,0,842,721,108,67,12/20/2020,121,340030,Duke University Hospital,DHPC
,,,,,,,,,,,,,,,11/9/2020,,100,Durham VA,DHPC
46,19,136,234,295,60,0,26,3,6,19,819,683,117,61,12/14/2020,136,340061,UNC Medical Center,MCRHC
0,1,8,19,35,0,0,0,0,0,0,93,59,7,16,1/2/2021,34,342014,Highsmith-Rainey Specialty Hospital,MCRHC
5,1,9,10,12,0,0,4,0,0,0,95,64,8,2,12/9/2020,31,340016,Harris Hosptial,MAHPC
0,1,9,3,3,8,0,0,2,1,2,37,19,8,0,1/20/2021,18,341326,Angel Medical Center,MAHPC
