Number of Additional Surge Beds Being Planned,Empty Adult ICU Beds,Adult ICU Staffed Bed Capacity,Number of Ventilators Available,Number of Ventilators in Hospital,Number of COVID-19 Positive Patients In Hospital,Number of Fatalities related to COVID-19 in past 24 hours,Number of COVID-19 Positive Adults in ICU,Number of ALL Patients Under Investigation for COVID-19 In Hospital,Number of new patients admitted to an inpatient bed who had confirmed COVID-19 at the time of admission in the past 24 hours,Number of new patients admitted to an inpatient bed who had suspected COVID-19 at the time of admission in the past 24 hours,Staffed Inpatient Capacity (all bed types),Inpatient Census (all bed types),Adult ICU Census,Number of Ventilators In Use,Date,Empty Inpatient Beds (all types),cms_number,hospital,Coalition
143,6,65,32,52,37,0,6,4,2,18,611,500,59,20,10/6/2020,111,340028,Cape Fear Valley Medical Center,MCRHC
7,0,0,4,4,0,0,0,1,0,1,25,13,0,0,10/11/2020,12,341327,Dosher Memorial Hospital,SHPR
281,10,48,100,184,25,0,7,2,0,2,803,628,38,84,9/9/2020,175,340053,Novant Health - Presbyterian,MHPC
11,0,0,2,2,0,0,0,0,0,0,12,2,0,0,9/4/2020,10,341303,FirstHealth Montgomery Memorial Hospital,MCRHC
10,1,10,15,16,2,0,0,10,0,5,84,60,9,1,10/3/2020,24,340119,Atrium Health - Stanly,MHPC
10,1,18,28,35,13,0,3,34,2,11,203,136,17,7,9/14/2020,67,340021,Atrium Health - Cleveland,MHPC
0,0,0,1,1,0,0,0,0,0,0,8,7,0,0,10/6/2020,1,340115,FirstHealth Moore Regional Hospital - Hoke Campus,MCRHC
16,12,74,30,57,11,0,3,29,0,0,612,431,62,27,9/16/2020,181,340091,Cone Health Moses H. Cone Memorial Hospital,THPC
0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,8/26/2020,0,341316,Highlands Cashiers Hospital,MAHPC
136,14,76,93,123,26,0,7,3,1,5,522,462,62,30,9/23/2020,60,340069,Wake Medical Center,CapRAC
25,3,8,14,14,2,0,1,0,1,0,80,51,5,0,8/26/2020,29,340144,Davis Regional MC,THPC
,,,,,,,,,,,,,,,9/3/2020,,101,Naval Medical Center Camp Lejeune,SHPR
16,2,7,13,13,20,0,7,10,3,10,84,66,5,0,9/3/2020,18,340008,Scotland Health Care System,MHPC
143,14,65,38,52,36,1,6,6,2,14,628,463,51,14,8/31/2020,165,340028,Cape Fear Valley Medical Center,MCRHC
0,2,8,26,35,0,0,0,0,0,0,93,56,6,9,10/6/2020,37,342014,Highsmith-Rainey Specialty Hospital,MCRHC
277,43,111,67,130,39,0,9,1,3,2,868,797,68,63,10/12/2020,71,340030,Duke University Hospital,DHPC
27,0,0,0,13,2,0,0,4,0,0,42,21,0,13,9/20/2020,21,340014,Novant Health - Forsyth MC,THPC
281,9,48,105,184,34,0,6,3,8,2,803,645,39,79,9/5/2020,158,340053,Novant Health - Presbyterian,MHPC
35,2,16,18,26,11,0,6,1,1,1,200,111,14,8,9/24/2020,89,340143,Catawba Valley Medical Center,THPC
5,0,0,5,5,0,0,0,0,0,0,54,40,0,0,9/16/2020,14,340123,Randolph Hospital,THPC
5,0,0,5,5,1,0,0,1,1,2,54,51,0,0,10/7/2020,3,340123,Randolph Hospital,THPC
51,0,16,10,15,7,0,4,6,1,0,154,114,16,5,9/29/2020,40,340039,Iredell Health System,THPC
18,0,14,20,31,13,1,9,19,1,6,176,112,14,11,8/30/2020,64,340130,Atrium Health - Union,MHPC
30,2,8,9,12,7,0,3,2,3,2,77,47,6,3,9/8/2020,30,340132,Maria Parham Medical Center,DHPC
10,2,6,8,8,0,0,2,1,2,1,48,36,4,0,9/11/2020,12,340127,Granville Health System,DHPC
6,0,0,10,10,1,0,0,2,0,0,59,31,0,0,10/11/2020,28,340037,Atrium Health - Kings Mountain,MHPC
18,2,30,40,51,14,1,6,50,2,16,281,261,28,11,10/12/2020,20,340098,Atrium Health - Pineville,MHPC
10,3,10,11,12,4,0,4,1,0,0,89,68,7,1,9/26/2020,21,340142,Carteret General Hospital,EHPC
23,4,28,11,22,16,0,6,2,4,1,293,197,24,11,10/13/2020,96,340004,WFBMC- High Point MC,THPC
7,0,0,4,4,0,0,0,0,0,0,25,13,0,0,9/26/2020,12,341327,Dosher Memorial Hospital,SHPR
0,3,10,8,9,9,0,2,4,4,4,125,51,7,1,10/16/2020,74,340013,Rutherford Regional Hospital,MAHPC
,,,,,,,,,,,,,,,8/31/2020,,340091,Women's Hospital,THPC
11,0,10,17,18,5,0,2,0,0,0,54,53,10,1,9/24/2020,1,340186,Vidant Beaufort Hospital,EHPC
72,1,8,5,6,0,0,0,0,0,0,48,44,7,1,9/13/2020,4,340020,Central Carolina Hospital,CapRAC
,,,,,,,,,,,,,,,9/5/2020,,341323,Cannon Hospital,MAHPC
136,5,76,97,123,21,0,11,2,0,6,522,462,71,26,10/4/2020,60,340069,Wake Medical Center,CapRAC
5,0,0,5,5,0,0,0,0,0,0,54,40,0,0,8/28/2020,14,340123,Randolph Hospital,THPC
35,5,16,23,26,9,0,2,5,1,4,200,113,11,3,9/17/2020,87,340143,Catawba Valley Medical Center,THPC
16,3,8,12,13,14,0,3,0,4,0,104,80,5,1,9/12/2020,24,340008,Scotland Health Care System,MHPC
,,,,,,,,,,,,,,,8/30/2020,,340069,Wake Medical Center,CapRAC
0,1,25,27,27,35,0,9,0,27,1,295,151,24,0,9/19/2020,144,340050,Southeastern Regional Medical Center,DHPC
29,0,6,17,17,6,1,3,3,1,2,62,58,6,0,10/11/2020,4,340068,Columbus Regional Healthcare System,SHPR
25,12,24,20,24,12,0,4,0,0,0,204,150,12,4,10/2/2020,54,340116,Frye Regional MC,THPC
,,,,,,,,,,,,,,,9/23/2020,,340159,Person Memorial Hospital,DHPC
0,0,0,0,15,0,0,0,0,0,0,38,11,0,15,9/14/2020,27,340148,Novant Health - Medical Park Hospital,THPC
23,2,24,13,22,16,0,8,0,2,0,269,183,22,9,9/8/2020,86,340004,WFBMC- High Point MC,THPC
0,4,4,4,4,1,0,0,3,0,2,49,14,0,0,9/2/2020,35,340188,Cape Fear Valley Hoke Hospital,MCRHC
10,3,10,11,12,0,0,0,13,0,4,84,57,7,1,8/31/2020,27,340119,Atrium Health - Stanly,MHPC
2,5,12,25,26,3,0,1,6,0,6,86,51,7,1,9/17/2020,35,340041,UNC- Caldwell Memorial Hospital,THPC
,,,,,,,,,,,,,,,10/11/2020,,100,Durham VA,DHPC
12,8,27,22,39,24,0,3,13,7,6,186,156,19,17,9/15/2020,30,340032,CaroMont Health,MHPC
13,0,0,0,0,0,0,0,0,0,0,18,0,0,0,9/22/2020,18,340156,Cherokee Indian Hospital,MAHPC
0,5,22,41,51,22,1,4,2,4,1,269,179,17,10,8/26/2020,90,340015,Novant Health - Rowan Medical Center,THPC
23,1,21,16,22,15,0,9,0,2,0,253,171,20,6,9/13/2020,82,340004,WFBMC- High Point MC,THPC
56,5,8,10,10,2,0,0,0,1,0,68,22,3,0,10/5/2020,46,340024,Sampson Regional Medical Center,MCRHC
31,6,21,37,45,25,1,8,8,4,3,277,125,15,8,9/21/2020,152,340147,Nash Health Care System,EHPC
7,0,0,4,4,0,0,0,0,0,0,25,13,0,0,9/11/2020,12,341327,Dosher Memorial Hospital,SHPR
23,4,26,12,22,13,0,7,0,3,0,292,177,22,10,9/23/2020,115,340004,WFBMC- High Point MC,THPC
30,2,8,10,12,1,0,1,0,1,0,77,58,6,2,9/25/2020,19,340132,Maria Parham Medical Center,DHPC
20,2,6,4,4,1,0,0,5,0,2,18,16,4,0,10/3/2020,2,340159,Person Memorial Hospital,DHPC
16,0,0,3,3,2,0,0,0,0,1,55,32,0,0,9/28/2020,23,340069,Wake Medical Center,CapRAC
